county,liability,d_insuff,d_ratio,shortfall,required
Adams,3472.10,0.3113,0.5402,3980,960
Allegheny,4393.31,0.2041,0.4428,4800,1160
Armstrong,3595.39,0.2290,0.6829,4260,1030
Beaver,3664.61,0.2238,0.5411,4810,1160
Bedford,3248.76,0.2938,0.4651,4330,1050
Berks,3732.28,0.2604,0.4231,5300,1280
Blair,4884.63,0.2844,0.5078,4260,1030
Bradford,4136.00,0.2956,0.5266,4390,1060
Bucks,4668.19,0.1785,0.7956,5800,1400
Butler,4443.29,0.2385,0.6402,4640,1120
Cambria,3763.02,0.2039,0.4071,4310,1040
Cameron,4449.43,0.2240,0.9157,4780,1150
Carbon,4183.03,0.2619,0.6227,4220,1020
Centre,3033.12,0.2894,0.3099,4210,1020
Chester,4955.60,0.1599,0.6402,5940,1440
Clarion,3560.32,0.3957,0.5272,4160,1000
Clearfield,3563.51,0.3168,0.4480,4450,1070
Clinton,3545.81,0.2159,0.3104,4290,1040
Columbia,3735.58,0.1580,0.3802,4580,1110
Crawford,3284.40,0.2900,0.5432,4420,1070
Cumberland,4456.50,0.2410,0.3839,4800,1160
Dauphin,4387.74,0.4603,0.6216,4520,1090
Delaware,4402.05,0.2930,0.5488,5020,1210
Elk,3912.45,0.1749,0.6461,5040,1220
Erie,3441.04,0.3642,0.4939,4740,1150
Fayette,3627.29,0.3346,0.4937,4160,1000
Forest,2121.00,0.1222,0.2639,3740,900
Franklin,3398.45,0.2560,0.3712,4310,1040
Fulton,3311.35,0.2789,0.3723,4100,990
Greene,3792.56,0.3241,0.4882,4160,1000
Huntingdon,2847.42,0.2516,0.2224,4450,1070
Indiana,3350.49,0.2903,0.3723,4070,980
Jefferson,3548.74,0.2420,0.5175,4550,1100
Juniata,3696.54,0.3378,0.5186,4430,1070
Lackawanna,4165.88,0.2022,0.3556,4850,1170
Lancaster,3899.17,0.2406,0.3914,4890,1180
Lawrence,3605.20,0.2094,0.4749,4610,1110
Lebanon,3804.62,0.2656,0.4402,4720,1140
Lehigh,3933.98,0.2877,0.4832,5070,1220
Luzerne,3939.90,0.1892,0.4082,4680,1130
Lycoming,3705.76,0.3132,0.4732,4220,1020
McKean,3311.46,0.3822,0.5197,4000,970
Mercer,3462.17,0.1699,0.3663,4270,1030
Mifflin,3456.03,0.1330,0.2352,4050,980
Monroe,3143.63,0.5298,0.7710,4680,1130
Montgomery,5227.21,0.1460,0.5370,5750,1390
Montour,5261.00,0.0483,0.3175,4470,1080
Northampton,3735.58,0.2201,0.5218,4970,1200
Northumberland,3636.89,0.2401,0.4262,4480,1080
Perry,3083.32,0.3194,0.6454,4710,1140
Philadelphia,3317.35,0.4919,0.4000,4460,1080
Pike,3304.48,0.3982,0.5948,3820,920
Potter,3348.89,0.2466,0.3204,4820,1170
Schuylkill,3783.01,0.2175,0.3314,4670,1130
Snyder,3251.74,0.2819,0.3891,4420,1070
Somerset,3287.43,0.2041,0.4740,4160,1000
Sullivan,4011.78,0.0996,0.6191,4750,1150
Susquehanna,4356.35,0.3067,0.5748,3850,930
Tioga,3538.30,0.2605,0.4535,4230,1020
Union,3244.19,0.1239,0.2606,4830,1170
Venango,3359.45,0.3879,0.6450,4170,1010
Warren,3843.78,0.3241,0.6860,4460,1080
Washington,4585.81,0.2046,0.5969,4650,1120
Wayne,3515.45,0.3207,0.4658,3680,890
Westmoreland,4372.55,0.1571,0.5646,4660,1130
Wyoming,4199.44,0.3935,0.6237,4290,1040
York,3655.72,0.3219,0.5734,5070,1220
Pennsylvania,4009.09,0.2693,0.4832,4840,1170
