county,liability,d_insuff,d_ratio,shortfall,required
Adams,3660,0.140949386,0.401529938,6760,1630
Allegheny,4650,0.092766081,0.192121609,7710,1860
Armstrong,4090,0.158088301,0.467723342,6770,1640
Beaver,3730,0.08803163,0.317793437,7830,1890
Bedford,3380,0.123380406,0.332283676,7590,1830
Berks,3700,0.142306934,0.295912677,8470,2050
Blair,5080,0.179835801,0.27620105,6830,1650
Bradford,4210,0.199091456,0.303163947,7800,1880
Bucks,5260,0.078520852,0.595446842,8870,2140
Butler,4840,0.113185532,0.466237791,7520,1820
Cambria,3670,0.081618343,0.165359011,7230,1750
Cameron,4480,0.003720944,0.412728657,8110,1960
Carbon,4070,0.055294083,0.416958636,7200,1740
Centre,2800,0.147157097,0.115196269,7050,1700
Chester,5530,0.023600311,0.462728887,9090,2200
Clarion,3430,0.155051919,0.269693176,7260,1750
Clearfield,3420,0.155017852,0.351632918,7470,1800
Clinton,3390,0.049659615,0.051500231,7660,1850
Columbia,3390,0.026379461,0.168582535,7590,1830
Crawford,3330,0.200835521,0.307720721,7090,1710
Cumberland,4570,0.131977582,0.19991935,8030,1940
Dauphin,4680,0.257642369,0.339521139,7450,1800
Delaware,4660,0.215290536,0.345488329,8390,2030
Elk,4140,0.193218326,0.616603755,7520,1820
Erie,3500,0.201214412,0.246432609,7640,1850
Fayette,3750,0.23233096,0.277474986,6900,1670
Forest,1970,0.020774262,0.044475244,6990,1690
Franklin,3540,0.206184089,0.251279738,6970,1680
Fulton,3170,0.235909244,0.288795197,6620,1600
Greene,3720,0.253555655,0.253902602,6740,1630
Huntingdon,2670,0.102401933,0.105019885,7230,1750
Indiana,3180,0.156211212,0.091570375,7050,1700
Jefferson,3440,0.155756009,0.332824668,7230,1750
Juniata,3230,0.248740947,0.408978669,7560,1830
Lackawanna,4130,0.188656858,0.198748723,7670,1850
Lancaster,4080,0.157933425,0.20903991,7620,1840
Lawrence,3670,0.093495246,0.269932862,7640,1840
Lebanon,3980,0.177169317,0.268450871,7770,1880
Lehigh,4130,0.173455719,0.338085687,8330,2010
Luzerne,3870,0.166597901,0.274415845,7470,1810
Lycoming,3740,0.234796239,0.25452094,6800,1640
McKean,3580,0.197848712,0.330046835,7000,1690
Mercer,3450,0.102038277,0.193357656,7420,1790
Mifflin,3540,0.078826941,0.15452253,6490,1570
Monroe,3350,0.34443585,0.619834048,7380,1780
Montgomery,5820,0.039111467,0.389521363,9170,2210
Montour,4720,-0.012426838,0.096763384,8260,2000
Northampton,4030,0.115185468,0.373367168,7800,1880
Northumberland,3640,0.112359734,0.25707053,7580,1830
Perry,3170,0.123888734,0.360171367,7380,1780
Philadelphia,3280,0.433755589,0.197718573,7190,1740
Pike,3430,0.173378529,0.560975057,6710,1620
Potter,3750,0.152758703,0.134084513,7280,1760
Schuylkill,3600,0.150061496,0.207624714,7810,1890
Snyder,3220,0.111969992,0.294960465,7340,1770
Somerset,3360,0.134942678,0.267986205,6560,1580
Sullivan,4000,-0.049205344,0.216583482,7660,1850
Susquehanna,4260,0.161361469,0.383083451,6330,1530
Tioga,3350,0.12582546,0.226654463,7000,1690
Union,2940,-0.000862406,0.146707941,8420,2030
Venango,3450,0.195034429,0.339817126,6720,1620
Warren,3940,0.171449897,0.454515799,7510,1810
Washington,4800,0.118357984,0.37071358,7420,1790
Wayne,3460,0.097409137,0.305276848,6180,1490
Westmoreland,4590,0.095419175,0.39055093,7600,1840
Wyoming,4140,0.131739089,0.331313404,6940,1680
York,3910,0.188246285,0.409848995,8240,1990
Pennsylvania,4170,0.165798963,0.291392134,7810,1890

